67726 90292 0.64 1.3348 21.989 15.395 36.339
90294 90100 0.08 1.3363 22.016 15.401 36.334
90099 90099 0 1.3365 22.026 15.402 36.331
51320 51320 0 1.3449 22.194 15.43 36.287
23273 23273 0 1.3513 22.342 15.45 36.252
84095 84095 0 1.3522 22.558 15.457 36.218
79543 79543 0 1.3539 22.602 15.456 36.214
84097 84097 0 1.3538 22.638 15.458 36.21
102573 102573 0 1.3533 22.715 15.461 36.2
61843 61843 0 1.3619 22.926 15.458 36.18
81240 81240 0 1.3658 22.994 15.456 36.171
98551 98551 0 1.3688 23.06 15.454 36.164
60619 60619 0 1.3801 23.195 15.453 36.154
38482 38482 0 1.3977 23.366 15.447 36.137
80410 80410 0 1.405 23.432 15.446 36.135
80415 80415 0 1.4093 23.499 15.442 36.133
97306 97306 0 1.4113 23.63 15.446 36.141
86940 86940 0 1.4124 23.685 15.446 36.144
86942 86942 0 1.4145 23.819 15.448 36.139
86942 35850 0.996 1.4145 23.823 15.448 36.139
35850 35850 0 1.4145 23.823 15.448 36.139
39354 68271 0.708 1.4158 23.96 15.457 36.128
77993 57666 0.224 1.4172 24.033 15.458 36.119
103453 103453 0 1.429 24.238 15.47 36.094
20159 20159 0 1.4305 24.302 15.471 36.085
42531 42531 0 1.4417 24.495 15.49 36.042
75086 75086 0 1.446 24.545 15.494 36.031
74616 6386 0.984 1.4432 24.646 15.509 36.012
6386 43260 0.036 1.4431 24.651 15.509 36.011
99925 43260 0.528 1.4374 24.752 15.513 36
76468 99915 0.136 1.4336 24.846 15.516 35.985
103708 103708 0 1.4315 24.901 15.515 35.974
103708 103707 0.728 1.4313 24.925 15.516 35.969
103709 103709 0 1.4283 24.989 15.518 35.962
72426 72426 0 1.4174 25.133 15.509 35.937
82469 82469 0 1.4151 25.355 15.485 35.887
82462 82463 0.2 1.4165 25.386 15.488 35.881
82461 82461 0 1.4163 25.419 15.488 35.875
79003 51526 0.78 1.4104 25.533 15.488 35.837
51526 71939 0.936 1.408 25.618 15.483 35.819
13757 13757 0 1.4075 25.63 15.483 35.816
78695 79004 0.94 1.4018 25.761 15.48 35.771
60995 60995 0 1.401 25.776 15.48 35.767
60995 71940 0.992 1.3972 25.827 15.48 35.75
71940 71940 0 1.3972 25.828 15.48 35.75
71940 14087 0.996 1.3905 25.921 15.47 35.718
14087 14087 0 1.3905 25.921 15.47 35.718
36297 36297 0 1.3817 26.013 15.47 35.687
36297 13749 0.944 1.3723 26.102 15.463 35.652
39805 39805 0 1.3707 26.119 15.462 35.645
66337 66337 0 1.3635 26.172 15.458 35.627
66337 76649 0.988 1.3498 26.277 15.459 35.587
76649 76649 0 1.3496 26.278 15.459 35.587
76649 70927 0.976 1.3446 26.327 15.461 35.572
70927 70927 0 1.3445 26.329 15.461 35.572
70927 70926 0.996 1.3386 26.377 15.458 35.557
70926 70926 0 1.3386 26.377 15.458 35.557
66340 66340 0 1.338 26.382 15.457 35.555
66340 28312 0.992 1.3342 26.413 15.456 35.544
28312 28312 0 1.3342 26.413 15.456 35.544
70444 28312 0.068 1.3246 26.491 15.456 35.509
70444 70443 0.78 1.3146 26.61 15.461 35.474
70443 70447 0.968 1.3084 26.702 15.47 35.44
70445 70445 0 1.3064 26.736 15.472 35.426
70445 51517 0.996 1.3025 26.807 15.473 35.394
51517 51517 0 1.3025 26.807 15.473 35.394
45713 45713 0 1.2969 27.092 15.509 35.281
32245 32245 0 1.3113 27.317 15.571 35.198
74594 74594 0 1.3125 27.336 15.576 35.193
38084 38084 0 1.3228 27.597 15.657 35.104
38084 34779 0.98 1.3243 27.617 15.665 35.098
34779 34779 0 1.3243 27.617 15.665 35.098
66212 66212 0 1.3404 27.814 15.732 35.048
66212 22176 0.304 1.3414 27.833 15.737 35.04
72646 72646 0 1.3433 27.881 15.751 35.021
87318 87321 0.908 1.3401 28.099 15.783 34.959
87320 87320 0 1.3387 28.137 15.786 34.944
59126 59126 0 1.3381 28.184 15.789 34.925
82978 82978 0 1.3425 28.419 15.829 34.858
86147 86147 0 1.343 28.44 15.834 34.854
86147 86146 0.948 1.3423 28.511 15.85 34.834
86146 86146 0 1.3422 28.515 15.851 34.832
86139 86143 0.228 1.3428 28.599 15.868 34.816
86149 86149 0 1.3417 28.656 15.885 34.803
80649 80649 0 1.3413 28.781 15.917 34.773
100191 100191 0 1.3589 29.072 16.029 34.707
100191 73671 0.964 1.3599 29.084 16.033 34.703
73671 73671 0 1.36 29.085 16.033 34.703
29484 29484 0 1.4034 29.403 16.169 34.621
63084 63084 0 1.4091 29.433 16.182 34.61
70403 70265 0.264 1.4092 29.457 16.187 34.597
60142 70265 0.688 1.4087 29.495 16.194 34.581
24555 24555 0 1.4153 29.647 16.226 34.523
64981 20174 0.3 1.4115 29.674 16.226 34.506
20174 64984 0.376 1.4002 29.742 16.229 34.479
29827 29827 0 1.3713 29.942 16.22 34.406
11215 8714 0.704 1.3385 30.181 16.226 34.336
8714 5330 0.492 1.3352 30.21 16.224 34.328
5330 6088 0.296 1.329 30.263 16.221 34.308
15329 6088 0.488 1.3168 30.38 16.224 34.266
8711 3399 0.26 1.3042 30.513 16.236 34.224
3983 3983 0 1.2995 30.576 16.235 34.202
3983 40459 0.9 1.2821 30.681 16.249 34.182
58841 58841 0 1.2775 30.71 16.254 34.179
70147 58841 0.1 1.2597 30.857 16.271 34.169
70148 70147 0.14 1.2534 30.912 16.281 34.161
64155 64155 0 1.2447 30.972 16.286 34.148
70139 64155 0.164 1.2301 31.11 16.301 34.135
70137 70137 0 1.2228 31.188 16.315 34.121
10942 10942 0 1.2095 31.385 16.33 34.071
60738 60738 0 1.2044 31.453 16.343 34.056
69696 69696 0 1.1943 31.616 16.356 34.012
20465 69697 0.324 1.1907 31.713 16.374 33.987
8189 20465 0.556 1.1886 31.802 16.387 33.96
66813 66813 0 1.1877 31.893 16.398 33.928
1107 23901 0.832 1.1832 32.059 16.416 33.861
60735 60735 0 1.1828 32.113 16.426 33.838
76076 50053 0.724 1.1797 32.254 16.442 33.785
55283 78411 0.044 1.1789 32.31 16.451 33.762
38078 38078 0 1.1784 32.352 16.457 33.741
64649 64649 0 1.1835 32.567 16.484 33.66
44584 44584 0 1.1873 32.62 16.488 33.638
44584 61117 0.996 1.1874 32.624 16.489 33.636
61117 61117 0 1.1874 32.624 16.489 33.636
74557 74557 0 1.2014 32.813 16.518 33.545
51337 51337 0 1.2235 32.986 16.538 33.464
50049 50049 0 1.2472 33.112 16.564 33.406
65414 65414 0 1.2552 33.175 16.574 33.373
6171 6171 0 1.2783 33.318 16.608 33.296
37855 37855 0 1.2963 33.432 16.637 33.23
14654 14654 0 1.3107 33.519 16.659 33.181
59018 59018 0 1.3174 33.57 16.671 33.152
67876 88313 0.54 1.3224 33.664 16.692 33.111
67876 88305 0.624 1.3244 33.703 16.699 33.095
94517 94517 0 1.3293 33.801 16.709 33.057
94513 94512 0.772 1.3272 33.959 16.735 33.014
94514 94514 0 1.3273 33.961 16.736 33.014
43022 43022 0 1.3286 34.053 16.748 32.985
70699 5312 0.096 1.3283 34.251 16.773 32.933
43059 43059 0 1.3292 34.287 16.778 32.921
4125 4125 0 1.3303 34.445 16.794 32.878
29478 29478 0 1.3291 34.489 16.801 32.865
29478 96324 0.656 1.3267 34.57 16.808 32.844
98078 98078 0 1.3246 34.646 16.811 32.822
98077 98080 0.004 1.3202 34.769 16.819 32.785
98077 66763 0.044 1.3202 34.77 16.819 32.785
1810 1810 0 1.3124 34.874 16.825 32.749
21218 1810 0.104 1.3071 34.956 16.824 32.716
21218 64826 0.372 1.3054 34.981 16.824 32.709
64827 64827 0 1.2994 35.055 16.828 32.684
64827 73593 0.752 1.2929 35.116 16.827 32.66
73590 73590 0 1.284 35.197 16.832 32.62
68185 68185 0 1.2741 35.318 16.846 32.568
69273 68185 0.912 1.2739 35.321 16.846 32.567
54314 54314 0 1.2644 35.418 16.858 32.514
32896 68041 0.70077 1.2602 35.573 16.877 32.443
